data;

param n := 16;

param p := 8;

param e := 20;

set EDJ := (1,2) (2,3) (3,4) (4,5) (5,6) (6,7) (7,8) (7,9) (8,10) (9,11) (10,11) (10,12) (10,13) (12,14) (14,15) (14,16) (13,16) (5,16) (5,15) (1,5);

set AG := (1,2) (3,4) (5,6) (7,8) (9,10) (11,12) (13,14) (15,16);

param PI :
	1	2	3	4	5	6	7	8 :=
1	1.11	1.0137	1.0708	1.0584	1.2629	0.854	1.0475	1.2686
2	1.0578	0.9381	0.9833	0.9625	1.2114	0.7937	1.035	1.16
3	1.0367	0.9018	0.9375	0.9343	1.1743	0.7476	0.99	1.1057
4	1.1856	1.0923	1.1542	1.1625	1.3314	0.9048	1.0675	1.3714
5	0.9156	0.8536	0.9083	0.8886	1.0486	0.7286	0.8725	1.0771
6	0.9556	0.9143	0.9833	0.9365	1.1143	0.8032	0.95	1.1657
7	1.0556	0.9893	1.0583	1.0032	1.2343	0.8698	1.07	1.2514
8	0.95	0.8435	0.8792	0.9032	1.0543	0.681	0.84	1.0429
9	1.2122	1.1089	1.1708	1.167	1.3714	0.927	1.1225	1.3886
10	1.1811	1.0601	1.1125	1.1121	1.3343	0.881	1.1	1.3171
11	0.99	0.8601	0.8958	0.8765	1.1343	0.7254	0.98	1.0543
12	1.1333	1.0345	1.0917	1.0873	1.2829	0.8651	1.0525	1.2943
13	0.9856	0.9256	0.9875	0.9625	1.1314	0.7937	0.9425	1.1714
14	1.0244	0.931	0.9833	0.961	1.1743	0.7921	0.9925	1.1629
15	1.0222	0.9548	1.0167	0.9937	1.1714	0.8159	0.975	1.2057
16	1.0267	0.9071	0.95	0.9283	1.1771	0.7683	1.01	1.12
;

param CP :
	1	2	3	4	5	6	7	8	:=
 1	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 2	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 3	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 4	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 5	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 6	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
 8	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	
;

param CA :
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
 1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
 16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
;

